complaint_id,date,raw_text,_true_ward,_true_issue
CMP00443,2026-06-12,"Road near New Market Complex in Ward 3 badly damaged after rains, potholes everywhere.",Ward 3,pothole
CMP00485,2026-06-12,"Multiple streetlights down on the stretch near Railway Station Road in Ward 13, women feel unsafe.",Ward 13,streetlight
CMP00559,2026-06-12,"Large pothole near Govt School, Ward 5 causing accidents, two-wheelers keep skidding.",Ward 5,pothole
CMP00581,2026-06-12,"Streetlight near Gandhi Chowk, Ward 5 not working for a week, safety issue at night.",Ward 5,streetlight
CMP00235,2026-06-13,"Contaminated water coming from tap near Govt School in Ward 7, smells bad.",Ward 7,water_supply
CMP00237,2026-06-13,Heavy waterlogging near Railway Station Road in Ward 13 since 3 weeks. Road is completely flooded.,Ward 13,waterlogging
CMP00286,2026-06-13,"Sewage line broken near Railway Station Road, Ward 3, dirty water flowing on road for 10 days.",Ward 3,sewage
CMP00300,2026-06-13,"Drain overflow causing water to enter houses near Gandhi Chowk, Ward 7. Please help urgently.",Ward 7,waterlogging
CMP00060,2026-06-14,"Large pothole near Community Hall, Ward 5 causing accidents, two-wheelers keep skidding.",Ward 5,pothole
CMP00122,2026-06-14,Municipal garbage van has skipped our street near New Market Complex (Ward 7) for 3 weeks.,Ward 7,garbage
CMP00195,2026-06-14,"Stagnant water near New Market Complex for 3 weeks, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging
CMP00261,2026-06-14,"Road near Railway Station Road in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole
CMP00486,2026-06-14,Complaint raised earlier too - streetlight at Main Bazaar (Ward 3) still not fixed.,Ward 3,streetlight
CMP00505,2026-06-14,"Irregular water supply timing in Ward 10 near Petrol Pump Circle, affecting daily routine.",Ward 10,water_supply
CMP00065,2026-06-15,"Multiple streetlights down on the stretch near Main Bazaar in Ward 11, women feel unsafe.",Ward 11,streetlight
CMP00116,2026-06-15,"Sir humara area Ward 12 Riverside Lane ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging
CMP00169,2026-06-15,"Streetlight near Sector 4 Market, Ward 8 not working for several months, safety issue at night.",Ward 8,streetlight
CMP00379,2026-06-15,"Large pothole near Ring Road Junction, Ward 3 causing accidents, two-wheelers keep skidding.",Ward 3,pothole
CMP00416,2026-06-15,"Multiple streetlights down on the stretch near Railway Station Road in Ward 7, women feel unsafe.",Ward 7,streetlight
CMP00430,2026-06-15,"Illegal dumping of construction waste near Sector 4 Market in Ward 4, causing blockage.",Ward 4,garbage
CMP00511,2026-06-15,"Multiple streetlights down on the stretch near Govt School in Ward 15, women feel unsafe.",Ward 15,streetlight
CMP00534,2026-06-15,"Contaminated water coming from tap near Main Bazaar in Ward 8, smells bad.",Ward 8,water_supply
CMP00572,2026-06-15,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 5. Please help urgently.",Ward 5,waterlogging
CMP00447,2026-06-16,"Sewage line broken near Ambedkar Park, Ward 5, dirty water flowing on road for a week.",Ward 5,sewage
CMP00107,2026-06-17,"Overflowing garbage bin at New Market Complex, Ward 10, please send collection truck.",Ward 10,garbage
CMP00179,2026-06-17,"Overflowing garbage bin at Housing Colony Gate, Ward 12, please send collection truck.",Ward 12,garbage
CMP00223,2026-06-17,"Road near New Market Complex in Ward 12 badly damaged after rains, potholes everywhere.",Ward 12,pothole
CMP00556,2026-06-17,"Stagnant water near Sector 4 Market for 5 days, mosquito breeding ground, Ward 7 residents worried.",Ward 7,waterlogging
CMP00001,2026-06-18,"Every monsoon the road near Sector 4 Market in Ward 9 gets waterlogged, no permanent solution done yet.",Ward 9,waterlogging
CMP00017,2026-06-18,"Manhole overflow near Old Bus Stand in Ward 7, extremely unhygienic condition.",Ward 7,sewage
CMP00294,2026-06-18,"Sewage line broken near Industrial Area Gate, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage
CMP00315,2026-06-18,"Same pothole near Old Bus Stand (Ward 7) reported several months ago, still not repaired.",Ward 7,pothole
CMP00370,2026-06-18,"Garbage not collected for 2 days near Gandhi Chowk, Ward 9. Foul smell spreading.",Ward 9,garbage
CMP00394,2026-06-18,Municipal garbage van has skipped our street near Railway Station Road (Ward 2) for 5 days.,Ward 2,garbage
CMP00426,2026-06-18,"Same pothole near New Market Complex (Ward 7) reported over a month ago, still not repaired.",Ward 7,pothole
CMP00501,2026-06-18,"Stagnant water near Petrol Pump Circle for 3 weeks, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging
CMP00543,2026-06-18,Complaint raised earlier too - streetlight at New Market Complex (Ward 13) still not fixed.,Ward 13,streetlight
CMP00567,2026-06-18,"No water supply near Ambedkar Park, Ward 10 for 2 days, please check pipeline.",Ward 10,water_supply
CMP00222,2026-06-19,"Drain overflow causing water to enter houses near Shiv Mandir Road, Ward 3. Please help urgently.",Ward 3,waterlogging
CMP00297,2026-06-19,"Stagnant water near Ambedkar Park for over a month, mosquito breeding ground, Ward 2 residents worried.",Ward 2,waterlogging
CMP00389,2026-06-19,Municipal garbage van has skipped our street near New Market Complex (Ward 10) for 10 days.,Ward 10,garbage
CMP00546,2026-06-19,"Irregular water supply timing in Ward 12 near Govt School, affecting daily routine.",Ward 12,water_supply
CMP00564,2026-06-19,"Drain overflow causing water to enter houses near Petrol Pump Circle, Ward 12. Please help urgently.",Ward 12,waterlogging
CMP00143,2026-06-20,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 7) still not fixed.,Ward 7,streetlight
CMP00215,2026-06-20,"Same pothole near Govt School (Ward 10) reported over a month ago, still not repaired.",Ward 10,pothole
CMP00459,2026-06-20,"Overflowing garbage bin at Railway Station Road, Ward 12, please send collection truck.",Ward 12,garbage
CMP00005,2026-06-21,"Garbage not collected for several months near Industrial Area Gate, Ward 7. Foul smell spreading.",Ward 7,garbage
CMP00013,2026-06-21,"Same pothole near Riverside Lane (Ward 2) reported a week ago, still not repaired.",Ward 2,pothole
CMP00020,2026-06-21,Heavy waterlogging near Old Bus Stand in Ward 2 since 5 days. Road is completely flooded.,Ward 2,waterlogging
CMP00064,2026-06-21,"Overflowing garbage bin at Petrol Pump Circle, Ward 1, please send collection truck.",Ward 1,garbage
CMP00410,2026-06-21,Heavy waterlogging near Housing Colony Gate in Ward 10 since 10 days. Road is completely flooded.,Ward 10,waterlogging
CMP00516,2026-06-21,"Same pothole near Old Bus Stand (Ward 13) reported over a month ago, still not repaired.",Ward 13,pothole
CMP00555,2026-06-21,"Streetlight near Ambedkar Park, Ward 12 not working for several months, safety issue at night.",Ward 12,streetlight
CMP00469,2026-06-22,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 7) still not fixed.,Ward 7,streetlight
CMP00489,2026-06-22,"Streetlight near Ring Road Junction, Ward 11 not working for over a month, safety issue at night.",Ward 11,streetlight
CMP00515,2026-06-22,"Irregular water supply timing in Ward 3 near Railway Station Road, affecting daily routine.",Ward 3,water_supply
CMP00588,2026-06-22,Municipal garbage van has skipped our street near New Market Complex (Ward 7) for over a month.,Ward 7,garbage
CMP00070,2026-06-23,"Large pothole near New Market Complex, Ward 14 causing accidents, two-wheelers keep skidding.",Ward 14,pothole
CMP00148,2026-06-23,"Garbage not collected for a week near Old Bus Stand, Ward 9. Foul smell spreading.",Ward 9,garbage
CMP00265,2026-06-23,"Overflowing garbage bin at Community Hall, Ward 12, please send collection truck.",Ward 12,garbage
CMP00591,2026-06-23,"Multiple streetlights down on the stretch near Ambedkar Park in Ward 4, women feel unsafe.",Ward 4,streetlight
CMP00109,2026-06-24,"Large pothole near New Market Complex, Ward 1 causing accidents, two-wheelers keep skidding.",Ward 1,pothole
CMP00332,2026-06-24,"Garbage not collected for 5 days near Gandhi Chowk, Ward 9. Foul smell spreading.",Ward 9,garbage
CMP00344,2026-06-24,"Sir humara area Ward 7 Petrol Pump Circle ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 7,waterlogging
CMP00038,2026-06-25,Municipal garbage van has skipped our street near Industrial Area Gate (Ward 8) for 3 weeks.,Ward 8,garbage
CMP00083,2026-06-25,"Illegal dumping of construction waste near Main Bazaar in Ward 7, causing blockage.",Ward 7,garbage
CMP00137,2026-06-25,"Illegal dumping of construction waste near Railway Station Road in Ward 11, causing blockage.",Ward 11,garbage
CMP00118,2026-06-26,"Multiple streetlights down on the stretch near Govt School in Ward 13, women feel unsafe.",Ward 13,streetlight
CMP00316,2026-06-26,"Contaminated water coming from tap near Gandhi Chowk in Ward 2, smells bad.",Ward 2,water_supply
CMP00369,2026-06-26,"Manhole overflow near Industrial Area Gate in Ward 7, extremely unhygienic condition.",Ward 7,sewage
CMP00598,2026-06-26,"Illegal dumping of construction waste near Ring Road Junction in Ward 11, causing blockage.",Ward 11,garbage
CMP00053,2026-06-27,"Illegal dumping of construction waste near Ambedkar Park in Ward 9, causing blockage.",Ward 9,garbage
CMP00068,2026-06-27,"No water supply near Ambedkar Park, Ward 12 for 10 days, please check pipeline.",Ward 12,water_supply
CMP00147,2026-06-27,"Same pothole near Riverside Lane (Ward 5) reported 2 days ago, still not repaired.",Ward 5,pothole
CMP00418,2026-06-27,Municipal garbage van has skipped our street near Railway Station Road (Ward 3) for 5 days.,Ward 3,garbage
CMP00540,2026-06-27,"Overflowing garbage bin at Industrial Area Gate, Ward 9, please send collection truck.",Ward 9,garbage
CMP00136,2026-06-28,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 3) still not fixed.,Ward 3,streetlight
CMP00251,2026-06-28,Municipal garbage van has skipped our street near Govt School (Ward 7) for 10 days.,Ward 7,garbage
CMP00254,2026-06-28,"Large pothole near Sector 4 Market, Ward 7 causing accidents, two-wheelers keep skidding.",Ward 7,pothole
CMP00303,2026-06-28,Heavy waterlogging near Gandhi Chowk in Ward 7 since 10 days. Road is completely flooded.,Ward 7,waterlogging
CMP00004,2026-06-29,"Same pothole near Main Bazaar (Ward 8) reported 3 weeks ago, still not repaired.",Ward 8,pothole
CMP00092,2026-06-29,"Large pothole near Industrial Area Gate, Ward 3 causing accidents, two-wheelers keep skidding.",Ward 3,pothole
CMP00211,2026-06-29,"Same pothole near Shiv Mandir Road (Ward 7) reported over a month ago, still not repaired.",Ward 7,pothole
CMP00253,2026-06-29,Complaint raised earlier too - streetlight at Community Hall (Ward 10) still not fixed.,Ward 10,streetlight
CMP00412,2026-06-29,"Manhole overflow near Shiv Mandir Road in Ward 3, extremely unhygienic condition.",Ward 3,sewage
CMP00436,2026-06-29,"Overflowing garbage bin at Petrol Pump Circle, Ward 12, please send collection truck.",Ward 12,garbage
CMP00440,2026-06-29,"Contaminated water coming from tap near Sector 4 Market in Ward 7, smells bad.",Ward 7,water_supply
CMP00452,2026-06-29,Municipal garbage van has skipped our street near Gandhi Chowk (Ward 12) for over a month.,Ward 12,garbage
CMP00532,2026-06-29,"Streetlight near Ring Road Junction, Ward 12 not working for 2 days, safety issue at night.",Ward 12,streetlight
CMP00010,2026-06-30,"Road near Railway Station Road in Ward 2 badly damaged after rains, potholes everywhere.",Ward 2,pothole
CMP00177,2026-06-30,"Sewage line broken near Ring Road Junction, Ward 12, dirty water flowing on road for 3 weeks.",Ward 12,sewage
CMP00210,2026-06-30,"Illegal dumping of construction waste near Railway Station Road in Ward 5, causing blockage.",Ward 5,garbage
CMP00234,2026-06-30,"Streetlight near Govt School, Ward 12 not working for 3 weeks, safety issue at night.",Ward 12,streetlight
CMP00393,2026-06-30,"Sir humara area Ward 4 Sector 4 Market ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 4,waterlogging
CMP00429,2026-06-30,"Road near Main Bazaar in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole
CMP00433,2026-06-30,Heavy waterlogging near Govt School in Ward 10 since 3 weeks. Road is completely flooded.,Ward 10,waterlogging
CMP00036,2026-07-01,"Manhole overflow near Railway Station Road in Ward 4, extremely unhygienic condition.",Ward 4,sewage
CMP00044,2026-07-01,"No water supply near Ambedkar Park, Ward 15 for several months, please check pipeline.",Ward 15,water_supply
CMP00051,2026-07-01,Heavy waterlogging near Petrol Pump Circle in Ward 12 since several months. Road is completely flooded.,Ward 12,waterlogging
CMP00088,2026-07-01,"Same pothole near Shiv Mandir Road (Ward 5) reported 2 days ago, still not repaired.",Ward 5,pothole
CMP00299,2026-07-01,Municipal garbage van has skipped our street near Main Bazaar (Ward 13) for 10 days.,Ward 13,garbage
CMP00305,2026-07-01,"Illegal dumping of construction waste near Railway Station Road in Ward 3, causing blockage.",Ward 3,garbage
CMP00431,2026-07-01,"Same pothole near Industrial Area Gate (Ward 1) reported 2 days ago, still not repaired.",Ward 1,pothole
CMP00475,2026-07-01,"Manhole overflow near Old Bus Stand in Ward 12, extremely unhygienic condition.",Ward 12,sewage
CMP00538,2026-07-01,Heavy waterlogging near Industrial Area Gate in Ward 12 since several months. Road is completely flooded.,Ward 12,waterlogging
CMP00091,2026-07-02,"Road near Housing Colony Gate in Ward 8 badly damaged after rains, potholes everywhere.",Ward 8,pothole
CMP00093,2026-07-02,"Manhole overflow near Gandhi Chowk in Ward 3, extremely unhygienic condition.",Ward 3,sewage
CMP00097,2026-07-02,"Road near Housing Colony Gate in Ward 12 badly damaged after rains, potholes everywhere.",Ward 12,pothole
CMP00113,2026-07-02,"Sewage line broken near Industrial Area Gate, Ward 2, dirty water flowing on road for 2 days.",Ward 2,sewage
CMP00126,2026-07-02,"No water supply near Community Hall, Ward 12 for 3 weeks, please check pipeline.",Ward 12,water_supply
CMP00407,2026-07-02,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 10. Please help urgently.",Ward 10,waterlogging
CMP00497,2026-07-02,"Road near Ring Road Junction in Ward 5 badly damaged after rains, potholes everywhere.",Ward 5,pothole
CMP00062,2026-07-03,"Road near Main Bazaar in Ward 6 badly damaged after rains, potholes everywhere.",Ward 6,pothole
CMP00115,2026-07-03,"Streetlight near Housing Colony Gate, Ward 10 not working for 5 days, safety issue at night.",Ward 10,streetlight
CMP00421,2026-07-03,"Irregular water supply timing in Ward 7 near Gandhi Chowk, affecting daily routine.",Ward 7,water_supply
CMP00442,2026-07-03,"Overflowing garbage bin at Govt School, Ward 7, please send collection truck.",Ward 7,garbage
CMP00076,2026-07-04,"Illegal dumping of construction waste near Gandhi Chowk in Ward 9, causing blockage.",Ward 9,garbage
CMP00128,2026-07-04,Municipal garbage van has skipped our street near Sector 4 Market (Ward 7) for 10 days.,Ward 7,garbage
CMP00182,2026-07-04,"Sewage line broken near Housing Colony Gate, Ward 12, dirty water flowing on road for several months.",Ward 12,sewage
CMP00333,2026-07-04,"Garbage not collected for several months near Community Hall, Ward 7. Foul smell spreading.",Ward 7,garbage
CMP00158,2026-07-05,"Sewage line broken near Industrial Area Gate, Ward 2, dirty water flowing on road for 5 days.",Ward 2,sewage
CMP00250,2026-07-05,"No water supply near Petrol Pump Circle, Ward 3 for 2 days, please check pipeline.",Ward 3,water_supply
CMP00358,2026-07-05,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 7. Please help urgently.",Ward 7,waterlogging
CMP00391,2026-07-05,"Streetlight near New Market Complex, Ward 4 not working for over a month, safety issue at night.",Ward 4,streetlight
CMP00542,2026-07-05,"Manhole overflow near Community Hall in Ward 3, extremely unhygienic condition.",Ward 3,sewage
CMP00585,2026-07-05,"Large pothole near Shiv Mandir Road, Ward 12 causing accidents, two-wheelers keep skidding.",Ward 12,pothole
CMP00063,2026-07-06,"No water supply near Petrol Pump Circle, Ward 12 for 3 weeks, please check pipeline.",Ward 12,water_supply
CMP00098,2026-07-06,Municipal garbage van has skipped our street near Petrol Pump Circle (Ward 12) for a week.,Ward 12,garbage
CMP00172,2026-07-06,"Overflowing garbage bin at New Market Complex, Ward 8, please send collection truck.",Ward 8,garbage
CMP00216,2026-07-06,"Road near Ring Road Junction in Ward 12 badly damaged after rains, potholes everywhere.",Ward 12,pothole
CMP00269,2026-07-06,"Stagnant water near Petrol Pump Circle for 10 days, mosquito breeding ground, Ward 3 residents worried.",Ward 3,waterlogging
CMP00548,2026-07-06,"No water supply near Govt School, Ward 9 for over a month, please check pipeline.",Ward 9,water_supply
CMP00162,2026-07-07,"Stagnant water near Riverside Lane for 3 weeks, mosquito breeding ground, Ward 2 residents worried.",Ward 2,waterlogging
CMP00290,2026-07-07,"Overflowing garbage bin at Housing Colony Gate, Ward 7, please send collection truck.",Ward 7,garbage
CMP00296,2026-07-07,"Same pothole near New Market Complex (Ward 13) reported 2 days ago, still not repaired.",Ward 13,pothole
CMP00301,2026-07-07,"Large pothole near Old Bus Stand, Ward 12 causing accidents, two-wheelers keep skidding.",Ward 12,pothole
CMP00363,2026-07-07,"Illegal dumping of construction waste near Gandhi Chowk in Ward 7, causing blockage.",Ward 7,garbage
CMP00364,2026-07-07,"Irregular water supply timing in Ward 7 near Petrol Pump Circle, affecting daily routine.",Ward 7,water_supply
CMP00170,2026-07-08,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 7. Please help urgently.",Ward 7,waterlogging
CMP00188,2026-07-08,"Every monsoon the road near Industrial Area Gate in Ward 5 gets waterlogged, no permanent solution done yet.",Ward 5,waterlogging
CMP00196,2026-07-08,Complaint raised earlier too - streetlight at Community Hall (Ward 4) still not fixed.,Ward 4,streetlight
CMP00404,2026-07-08,"Large pothole near Riverside Lane, Ward 9 causing accidents, two-wheelers keep skidding.",Ward 9,pothole
CMP00434,2026-07-08,"No water supply near Old Bus Stand, Ward 7 for over a month, please check pipeline.",Ward 7,water_supply
CMP00500,2026-07-08,"Same pothole near Sector 4 Market (Ward 1) reported 3 weeks ago, still not repaired.",Ward 1,pothole
CMP00084,2026-07-09,"Sewage line broken near Ring Road Junction, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage
CMP00212,2026-07-09,"Road near Ambedkar Park in Ward 9 badly damaged after rains, potholes everywhere.",Ward 9,pothole
CMP00353,2026-07-09,"Sir humara area Ward 9 Community Hall ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 9,waterlogging
CMP00385,2026-07-09,"Streetlight near Community Hall, Ward 5 not working for over a month, safety issue at night.",Ward 5,streetlight
CMP00428,2026-07-09,"Sewage line broken near Industrial Area Gate, Ward 3, dirty water flowing on road for 2 days.",Ward 3,sewage
CMP00439,2026-07-09,Municipal garbage van has skipped our street near Govt School (Ward 12) for a week.,Ward 12,garbage
CMP00597,2026-07-09,"Illegal dumping of construction waste near Ring Road Junction in Ward 7, causing blockage.",Ward 7,garbage
CMP00028,2026-07-10,"Every monsoon the road near Ambedkar Park in Ward 6 gets waterlogged, no permanent solution done yet.",Ward 6,waterlogging
CMP00168,2026-07-10,"Sewage line broken near Riverside Lane, Ward 3, dirty water flowing on road for a week.",Ward 3,sewage
CMP00248,2026-07-10,"Illegal dumping of construction waste near Old Bus Stand in Ward 4, causing blockage.",Ward 4,garbage
CMP00262,2026-07-10,"Same pothole near Railway Station Road (Ward 4) reported 3 weeks ago, still not repaired.",Ward 4,pothole
CMP00291,2026-07-10,"No water supply near Main Bazaar, Ward 11 for a week, please check pipeline.",Ward 11,water_supply
CMP00375,2026-07-10,"Garbage not collected for over a month near Govt School, Ward 12. Foul smell spreading.",Ward 12,garbage
CMP00525,2026-07-10,"Road near Railway Station Road in Ward 8 badly damaged after rains, potholes everywhere.",Ward 8,pothole
CMP00582,2026-07-10,"Sir humara area Ward 13 Ring Road Junction ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 13,waterlogging
CMP00099,2026-07-11,"Large pothole near Community Hall, Ward 7 causing accidents, two-wheelers keep skidding.",Ward 7,pothole
CMP00135,2026-07-11,"Garbage not collected for a week near Riverside Lane, Ward 5. Foul smell spreading.",Ward 5,garbage
CMP00163,2026-07-11,"Garbage not collected for 2 days near Housing Colony Gate, Ward 10. Foul smell spreading.",Ward 10,garbage
CMP00268,2026-07-11,"Manhole overflow near New Market Complex in Ward 9, extremely unhygienic condition.",Ward 9,sewage
CMP00331,2026-07-11,Complaint raised earlier too - streetlight at Shiv Mandir Road (Ward 12) still not fixed.,Ward 12,streetlight
