complaint_id,date,raw_text,_true_ward,_true_issue,extracted_ward,extracted_issue,extracted_urgency,extracted_duration
CMP00240,2026-06-07,"Manhole overflow near New Market Complex in Ward 12, extremely unhygienic condition.",Ward 12,sewage,Ward 12,sewage,high,not specified
CMP00249,2026-06-07,"Irregular water supply timing in Ward 11 near Ring Road Junction, affecting daily routine.",Ward 11,water_supply,Ward 11,water_supply,low,not specified
CMP00458,2026-06-07,"Streetlight near New Market Complex, Ward 13 not working for 5 days, safety issue at night.",Ward 13,streetlight,Ward 13,streetlight,low,5 day
CMP00014,2026-06-08,"Overflowing garbage bin at Petrol Pump Circle, Ward 7, please send collection truck.",Ward 7,garbage,Ward 7,garbage,low,not specified
CMP00035,2026-06-08,Heavy waterlogging near Riverside Lane in Ward 4 since 5 days. Road is completely flooded.,Ward 4,waterlogging,Ward 4,waterlogging,low,5 day
CMP00045,2026-06-08,"Streetlight near New Market Complex, Ward 3 not working for 3 weeks, safety issue at night.",Ward 3,streetlight,Ward 3,streetlight,low,3 week
CMP00326,2026-06-08,"Manhole overflow near Community Hall in Ward 11, extremely unhygienic condition.",Ward 11,sewage,Ward 11,sewage,high,not specified
CMP00345,2026-06-08,"Sir humara area Ward 12 Ambedkar Park ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging,Ward 12,waterlogging,low,not specified
CMP00381,2026-06-08,Complaint raised earlier too - streetlight at Ambedkar Park (Ward 3) still not fixed.,Ward 3,streetlight,Ward 3,streetlight,medium,not specified
CMP00419,2026-06-08,Complaint raised earlier too - streetlight at Housing Colony Gate (Ward 11) still not fixed.,Ward 11,streetlight,Ward 11,streetlight,medium,not specified
CMP00015,2026-06-09,"Every monsoon the road near Govt School in Ward 4 gets waterlogged, no permanent solution done yet.",Ward 4,waterlogging,Ward 4,waterlogging,low,not specified
CMP00121,2026-06-09,Municipal garbage van has skipped our street near Petrol Pump Circle (Ward 12) for 10 days.,Ward 12,garbage,Ward 12,garbage,low,10 day
CMP00185,2026-06-09,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 12) still not fixed.,Ward 12,streetlight,Ward 12,streetlight,medium,not specified
CMP00226,2026-06-09,"Stagnant water near Main Bazaar for 2 days, mosquito breeding ground, Ward 3 residents worried.",Ward 3,waterlogging,Ward 3,waterlogging,medium,2 day
CMP00246,2026-06-09,"Irregular water supply timing in Ward 1 near Petrol Pump Circle, affecting daily routine.",Ward 1,water_supply,Ward 1,water_supply,low,not specified
CMP00575,2026-06-09,"No water supply near Gandhi Chowk, Ward 10 for over a month, please check pipeline.",Ward 10,water_supply,Ward 10,water_supply,medium,not specified
CMP00580,2026-06-09,"Same pothole near Petrol Pump Circle (Ward 6) reported 5 days ago, still not repaired.",Ward 6,pothole,Ward 6,pothole,medium,5 day
CMP00595,2026-06-09,"Sir humara area Ward 12 Gandhi Chowk ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging,Ward 12,waterlogging,low,not specified
CMP00042,2026-06-10,"Stagnant water near Sector 4 Market for several months, mosquito breeding ground, Ward 3 residents worried.",Ward 3,waterlogging,Ward 3,waterlogging,medium,several months
CMP00153,2026-06-10,"Every monsoon the road near New Market Complex in Ward 4 gets waterlogged, no permanent solution done yet.",Ward 4,waterlogging,Ward 4,waterlogging,low,not specified
CMP00257,2026-06-10,Complaint raised earlier too - streetlight at Industrial Area Gate (Ward 4) still not fixed.,Ward 4,streetlight,Ward 4,streetlight,medium,not specified
CMP00258,2026-06-10,"Road near Gandhi Chowk in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole,Ward 7,pothole,low,not specified
CMP00342,2026-06-10,"Multiple streetlights down on the stretch near New Market Complex in Ward 11, women feel unsafe.",Ward 11,streetlight,Ward 11,streetlight,high,not specified
CMP00478,2026-06-10,"Garbage not collected for a week near Govt School, Ward 11. Foul smell spreading.",Ward 11,garbage,Ward 11,garbage,low,a week
CMP00547,2026-06-10,Municipal garbage van has skipped our street near Govt School (Ward 8) for 3 weeks.,Ward 8,garbage,Ward 8,garbage,low,3 week
CMP00050,2026-06-11,"Sewage line broken near Gandhi Chowk, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage,Ward 7,sewage,medium,not specified
CMP00087,2026-06-11,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 10) still not fixed.,Ward 10,streetlight,Ward 10,streetlight,medium,not specified
CMP00111,2026-06-11,Municipal garbage van has skipped our street near Community Hall (Ward 12) for several months.,Ward 12,garbage,Ward 12,garbage,medium,several months
CMP00347,2026-06-11,"Sir humara area Ward 13 Ambedkar Park ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 13,waterlogging,Ward 13,waterlogging,low,not specified
CMP00415,2026-06-11,"Irregular water supply timing in Ward 12 near Industrial Area Gate, affecting daily routine.",Ward 12,water_supply,Ward 12,water_supply,low,not specified
CMP00467,2026-06-11,"Road near Petrol Pump Circle in Ward 4 badly damaged after rains, potholes everywhere.",Ward 4,pothole,Ward 4,pothole,low,not specified
CMP00488,2026-06-11,"Stagnant water near Govt School for several months, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging,Ward 12,waterlogging,medium,several months
CMP00578,2026-06-11,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 2) still not fixed.,Ward 2,streetlight,Ward 2,streetlight,medium,not specified
CMP00186,2026-06-12,"Road near Sector 4 Market in Ward 4 badly damaged after rains, potholes everywhere.",Ward 4,pothole,Ward 4,pothole,low,not specified
CMP00271,2026-06-12,"Illegal dumping of construction waste near Railway Station Road in Ward 1, causing blockage.",Ward 1,garbage,Ward 1,garbage,low,not specified
CMP00443,2026-06-12,"Road near New Market Complex in Ward 3 badly damaged after rains, potholes everywhere.",Ward 3,pothole,Ward 3,pothole,low,not specified
CMP00485,2026-06-12,"Multiple streetlights down on the stretch near Railway Station Road in Ward 13, women feel unsafe.",Ward 13,streetlight,Ward 13,streetlight,high,not specified
CMP00559,2026-06-12,"Large pothole near Govt School, Ward 5 causing accidents, two-wheelers keep skidding.",Ward 5,pothole,Ward 5,pothole,high,not specified
CMP00581,2026-06-12,"Streetlight near Gandhi Chowk, Ward 5 not working for a week, safety issue at night.",Ward 5,streetlight,Ward 5,streetlight,low,a week
CMP00235,2026-06-13,"Contaminated water coming from tap near Govt School in Ward 7, smells bad.",Ward 7,water_supply,Ward 7,water_supply,low,not specified
CMP00237,2026-06-13,Heavy waterlogging near Railway Station Road in Ward 13 since 3 weeks. Road is completely flooded.,Ward 13,waterlogging,Ward 13,waterlogging,low,3 week
CMP00286,2026-06-13,"Sewage line broken near Railway Station Road, Ward 3, dirty water flowing on road for 10 days.",Ward 3,sewage,Ward 3,sewage,low,10 day
CMP00300,2026-06-13,"Drain overflow causing water to enter houses near Gandhi Chowk, Ward 7. Please help urgently.",Ward 7,waterlogging,Ward 7,waterlogging,high,not specified
CMP00060,2026-06-14,"Large pothole near Community Hall, Ward 5 causing accidents, two-wheelers keep skidding.",Ward 5,pothole,Ward 5,pothole,high,not specified
CMP00122,2026-06-14,Municipal garbage van has skipped our street near New Market Complex (Ward 7) for 3 weeks.,Ward 7,garbage,Ward 7,garbage,low,3 week
CMP00195,2026-06-14,"Stagnant water near New Market Complex for 3 weeks, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging,Ward 12,waterlogging,medium,3 week
CMP00261,2026-06-14,"Road near Railway Station Road in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole,Ward 7,pothole,low,not specified
CMP00486,2026-06-14,Complaint raised earlier too - streetlight at Main Bazaar (Ward 3) still not fixed.,Ward 3,streetlight,Ward 3,streetlight,medium,not specified
CMP00505,2026-06-14,"Irregular water supply timing in Ward 10 near Petrol Pump Circle, affecting daily routine.",Ward 10,water_supply,Ward 10,water_supply,low,not specified
CMP00065,2026-06-15,"Multiple streetlights down on the stretch near Main Bazaar in Ward 11, women feel unsafe.",Ward 11,streetlight,Ward 11,streetlight,high,not specified
CMP00116,2026-06-15,"Sir humara area Ward 12 Riverside Lane ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 12,waterlogging,Ward 12,waterlogging,low,not specified
CMP00169,2026-06-15,"Streetlight near Sector 4 Market, Ward 8 not working for several months, safety issue at night.",Ward 8,streetlight,Ward 8,streetlight,medium,several months
CMP00379,2026-06-15,"Large pothole near Ring Road Junction, Ward 3 causing accidents, two-wheelers keep skidding.",Ward 3,pothole,Ward 3,pothole,high,not specified
CMP00416,2026-06-15,"Multiple streetlights down on the stretch near Railway Station Road in Ward 7, women feel unsafe.",Ward 7,streetlight,Ward 7,streetlight,high,not specified
CMP00430,2026-06-15,"Illegal dumping of construction waste near Sector 4 Market in Ward 4, causing blockage.",Ward 4,garbage,Ward 4,garbage,low,not specified
CMP00511,2026-06-15,"Multiple streetlights down on the stretch near Govt School in Ward 15, women feel unsafe.",Ward 15,streetlight,Ward 15,streetlight,high,not specified
CMP00534,2026-06-15,"Contaminated water coming from tap near Main Bazaar in Ward 8, smells bad.",Ward 8,water_supply,Ward 8,water_supply,low,not specified
CMP00572,2026-06-15,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 5. Please help urgently.",Ward 5,waterlogging,Ward 5,waterlogging,high,not specified
CMP00447,2026-06-16,"Sewage line broken near Ambedkar Park, Ward 5, dirty water flowing on road for a week.",Ward 5,sewage,Ward 5,sewage,low,a week
CMP00107,2026-06-17,"Overflowing garbage bin at New Market Complex, Ward 10, please send collection truck.",Ward 10,garbage,Ward 10,garbage,low,not specified
CMP00179,2026-06-17,"Overflowing garbage bin at Housing Colony Gate, Ward 12, please send collection truck.",Ward 12,garbage,Ward 12,garbage,low,not specified
CMP00223,2026-06-17,"Road near New Market Complex in Ward 12 badly damaged after rains, potholes everywhere.",Ward 12,pothole,Ward 12,pothole,low,not specified
CMP00556,2026-06-17,"Stagnant water near Sector 4 Market for 5 days, mosquito breeding ground, Ward 7 residents worried.",Ward 7,waterlogging,Ward 7,waterlogging,medium,5 day
CMP00001,2026-06-18,"Every monsoon the road near Sector 4 Market in Ward 9 gets waterlogged, no permanent solution done yet.",Ward 9,waterlogging,Ward 9,waterlogging,low,not specified
CMP00017,2026-06-18,"Manhole overflow near Old Bus Stand in Ward 7, extremely unhygienic condition.",Ward 7,sewage,Ward 7,sewage,high,not specified
CMP00294,2026-06-18,"Sewage line broken near Industrial Area Gate, Ward 7, dirty water flowing on road for over a month.",Ward 7,sewage,Ward 7,sewage,medium,not specified
CMP00315,2026-06-18,"Same pothole near Old Bus Stand (Ward 7) reported several months ago, still not repaired.",Ward 7,pothole,Ward 7,pothole,medium,several months
CMP00370,2026-06-18,"Garbage not collected for 2 days near Gandhi Chowk, Ward 9. Foul smell spreading.",Ward 9,garbage,Ward 9,garbage,low,2 day
CMP00394,2026-06-18,Municipal garbage van has skipped our street near Railway Station Road (Ward 2) for 5 days.,Ward 2,garbage,Ward 2,garbage,low,5 day
CMP00426,2026-06-18,"Same pothole near New Market Complex (Ward 7) reported over a month ago, still not repaired.",Ward 7,pothole,Ward 7,pothole,medium,not specified
CMP00501,2026-06-18,"Stagnant water near Petrol Pump Circle for 3 weeks, mosquito breeding ground, Ward 12 residents worried.",Ward 12,waterlogging,Ward 12,waterlogging,medium,3 week
CMP00543,2026-06-18,Complaint raised earlier too - streetlight at New Market Complex (Ward 13) still not fixed.,Ward 13,streetlight,Ward 13,streetlight,medium,not specified
CMP00567,2026-06-18,"No water supply near Ambedkar Park, Ward 10 for 2 days, please check pipeline.",Ward 10,water_supply,Ward 10,water_supply,low,2 day
CMP00222,2026-06-19,"Drain overflow causing water to enter houses near Shiv Mandir Road, Ward 3. Please help urgently.",Ward 3,waterlogging,Ward 3,waterlogging,high,not specified
CMP00297,2026-06-19,"Stagnant water near Ambedkar Park for over a month, mosquito breeding ground, Ward 2 residents worried.",Ward 2,waterlogging,Ward 2,waterlogging,medium,not specified
CMP00389,2026-06-19,Municipal garbage van has skipped our street near New Market Complex (Ward 10) for 10 days.,Ward 10,garbage,Ward 10,garbage,low,10 day
CMP00546,2026-06-19,"Irregular water supply timing in Ward 12 near Govt School, affecting daily routine.",Ward 12,water_supply,Ward 12,water_supply,low,not specified
CMP00564,2026-06-19,"Drain overflow causing water to enter houses near Petrol Pump Circle, Ward 12. Please help urgently.",Ward 12,waterlogging,Ward 12,waterlogging,high,not specified
CMP00143,2026-06-20,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 7) still not fixed.,Ward 7,streetlight,Ward 7,streetlight,medium,not specified
CMP00215,2026-06-20,"Same pothole near Govt School (Ward 10) reported over a month ago, still not repaired.",Ward 10,pothole,Ward 10,pothole,medium,not specified
CMP00459,2026-06-20,"Overflowing garbage bin at Railway Station Road, Ward 12, please send collection truck.",Ward 12,garbage,Ward 12,garbage,low,not specified
CMP00005,2026-06-21,"Garbage not collected for several months near Industrial Area Gate, Ward 7. Foul smell spreading.",Ward 7,garbage,Ward 7,garbage,medium,several months
CMP00013,2026-06-21,"Same pothole near Riverside Lane (Ward 2) reported a week ago, still not repaired.",Ward 2,pothole,Ward 2,pothole,medium,a week
CMP00020,2026-06-21,Heavy waterlogging near Old Bus Stand in Ward 2 since 5 days. Road is completely flooded.,Ward 2,waterlogging,Ward 2,waterlogging,low,5 day
CMP00064,2026-06-21,"Overflowing garbage bin at Petrol Pump Circle, Ward 1, please send collection truck.",Ward 1,garbage,Ward 1,garbage,low,not specified
CMP00410,2026-06-21,Heavy waterlogging near Housing Colony Gate in Ward 10 since 10 days. Road is completely flooded.,Ward 10,waterlogging,Ward 10,waterlogging,low,10 day
CMP00516,2026-06-21,"Same pothole near Old Bus Stand (Ward 13) reported over a month ago, still not repaired.",Ward 13,pothole,Ward 13,pothole,medium,not specified
CMP00555,2026-06-21,"Streetlight near Ambedkar Park, Ward 12 not working for several months, safety issue at night.",Ward 12,streetlight,Ward 12,streetlight,medium,several months
CMP00469,2026-06-22,Complaint raised earlier too - streetlight at Gandhi Chowk (Ward 7) still not fixed.,Ward 7,streetlight,Ward 7,streetlight,medium,not specified
CMP00489,2026-06-22,"Streetlight near Ring Road Junction, Ward 11 not working for over a month, safety issue at night.",Ward 11,streetlight,Ward 11,streetlight,medium,not specified
CMP00515,2026-06-22,"Irregular water supply timing in Ward 3 near Railway Station Road, affecting daily routine.",Ward 3,water_supply,Ward 3,water_supply,low,not specified
CMP00588,2026-06-22,Municipal garbage van has skipped our street near New Market Complex (Ward 7) for over a month.,Ward 7,garbage,Ward 7,garbage,medium,not specified
CMP00070,2026-06-23,"Large pothole near New Market Complex, Ward 14 causing accidents, two-wheelers keep skidding.",Ward 14,pothole,Ward 14,pothole,high,not specified
CMP00148,2026-06-23,"Garbage not collected for a week near Old Bus Stand, Ward 9. Foul smell spreading.",Ward 9,garbage,Ward 9,garbage,low,a week
CMP00265,2026-06-23,"Overflowing garbage bin at Community Hall, Ward 12, please send collection truck.",Ward 12,garbage,Ward 12,garbage,low,not specified
CMP00591,2026-06-23,"Multiple streetlights down on the stretch near Ambedkar Park in Ward 4, women feel unsafe.",Ward 4,streetlight,Ward 4,streetlight,high,not specified
CMP00109,2026-06-24,"Large pothole near New Market Complex, Ward 1 causing accidents, two-wheelers keep skidding.",Ward 1,pothole,Ward 1,pothole,high,not specified
CMP00332,2026-06-24,"Garbage not collected for 5 days near Gandhi Chowk, Ward 9. Foul smell spreading.",Ward 9,garbage,Ward 9,garbage,low,5 day
CMP00344,2026-06-24,"Sir humara area Ward 7 Petrol Pump Circle ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 7,waterlogging,Ward 7,waterlogging,low,not specified
CMP00038,2026-06-25,Municipal garbage van has skipped our street near Industrial Area Gate (Ward 8) for 3 weeks.,Ward 8,garbage,Ward 8,garbage,low,3 week
CMP00083,2026-06-25,"Illegal dumping of construction waste near Main Bazaar in Ward 7, causing blockage.",Ward 7,garbage,Ward 7,garbage,low,not specified
CMP00137,2026-06-25,"Illegal dumping of construction waste near Railway Station Road in Ward 11, causing blockage.",Ward 11,garbage,Ward 11,garbage,low,not specified
CMP00118,2026-06-26,"Multiple streetlights down on the stretch near Govt School in Ward 13, women feel unsafe.",Ward 13,streetlight,Ward 13,streetlight,high,not specified
CMP00316,2026-06-26,"Contaminated water coming from tap near Gandhi Chowk in Ward 2, smells bad.",Ward 2,water_supply,Ward 2,water_supply,low,not specified
CMP00369,2026-06-26,"Manhole overflow near Industrial Area Gate in Ward 7, extremely unhygienic condition.",Ward 7,sewage,Ward 7,sewage,high,not specified
CMP00598,2026-06-26,"Illegal dumping of construction waste near Ring Road Junction in Ward 11, causing blockage.",Ward 11,garbage,Ward 11,garbage,low,not specified
CMP00053,2026-06-27,"Illegal dumping of construction waste near Ambedkar Park in Ward 9, causing blockage.",Ward 9,garbage,Ward 9,garbage,low,not specified
CMP00068,2026-06-27,"No water supply near Ambedkar Park, Ward 12 for 10 days, please check pipeline.",Ward 12,water_supply,Ward 12,water_supply,low,10 day
CMP00147,2026-06-27,"Same pothole near Riverside Lane (Ward 5) reported 2 days ago, still not repaired.",Ward 5,pothole,Ward 5,pothole,medium,2 day
CMP00418,2026-06-27,Municipal garbage van has skipped our street near Railway Station Road (Ward 3) for 5 days.,Ward 3,garbage,Ward 3,garbage,low,5 day
CMP00540,2026-06-27,"Overflowing garbage bin at Industrial Area Gate, Ward 9, please send collection truck.",Ward 9,garbage,Ward 9,garbage,low,not specified
CMP00136,2026-06-28,Complaint raised earlier too - streetlight at Old Bus Stand (Ward 3) still not fixed.,Ward 3,streetlight,Ward 3,streetlight,medium,not specified
CMP00251,2026-06-28,Municipal garbage van has skipped our street near Govt School (Ward 7) for 10 days.,Ward 7,garbage,Ward 7,garbage,low,10 day
CMP00254,2026-06-28,"Large pothole near Sector 4 Market, Ward 7 causing accidents, two-wheelers keep skidding.",Ward 7,pothole,Ward 7,pothole,high,not specified
CMP00303,2026-06-28,Heavy waterlogging near Gandhi Chowk in Ward 7 since 10 days. Road is completely flooded.,Ward 7,waterlogging,Ward 7,waterlogging,low,10 day
CMP00004,2026-06-29,"Same pothole near Main Bazaar (Ward 8) reported 3 weeks ago, still not repaired.",Ward 8,pothole,Ward 8,pothole,medium,3 week
CMP00092,2026-06-29,"Large pothole near Industrial Area Gate, Ward 3 causing accidents, two-wheelers keep skidding.",Ward 3,pothole,Ward 3,pothole,high,not specified
CMP00211,2026-06-29,"Same pothole near Shiv Mandir Road (Ward 7) reported over a month ago, still not repaired.",Ward 7,pothole,Ward 7,pothole,medium,not specified
CMP00253,2026-06-29,Complaint raised earlier too - streetlight at Community Hall (Ward 10) still not fixed.,Ward 10,streetlight,Ward 10,streetlight,medium,not specified
CMP00412,2026-06-29,"Manhole overflow near Shiv Mandir Road in Ward 3, extremely unhygienic condition.",Ward 3,sewage,Ward 3,sewage,high,not specified
CMP00436,2026-06-29,"Overflowing garbage bin at Petrol Pump Circle, Ward 12, please send collection truck.",Ward 12,garbage,Ward 12,garbage,low,not specified
CMP00440,2026-06-29,"Contaminated water coming from tap near Sector 4 Market in Ward 7, smells bad.",Ward 7,water_supply,Ward 7,water_supply,low,not specified
CMP00452,2026-06-29,Municipal garbage van has skipped our street near Gandhi Chowk (Ward 12) for over a month.,Ward 12,garbage,Ward 12,garbage,medium,not specified
CMP00532,2026-06-29,"Streetlight near Ring Road Junction, Ward 12 not working for 2 days, safety issue at night.",Ward 12,streetlight,Ward 12,streetlight,low,2 day
CMP00010,2026-06-30,"Road near Railway Station Road in Ward 2 badly damaged after rains, potholes everywhere.",Ward 2,pothole,Ward 2,pothole,low,not specified
CMP00177,2026-06-30,"Sewage line broken near Ring Road Junction, Ward 12, dirty water flowing on road for 3 weeks.",Ward 12,sewage,Ward 12,sewage,low,3 week
CMP00210,2026-06-30,"Illegal dumping of construction waste near Railway Station Road in Ward 5, causing blockage.",Ward 5,garbage,Ward 5,garbage,low,not specified
CMP00234,2026-06-30,"Streetlight near Govt School, Ward 12 not working for 3 weeks, safety issue at night.",Ward 12,streetlight,Ward 12,streetlight,low,3 week
CMP00393,2026-06-30,"Sir humara area Ward 4 Sector 4 Market ke paas paani bhar gaya hai, bahut dino se yehi problem hai.",Ward 4,waterlogging,Ward 4,waterlogging,low,not specified
CMP00429,2026-06-30,"Road near Main Bazaar in Ward 7 badly damaged after rains, potholes everywhere.",Ward 7,pothole,Ward 7,pothole,low,not specified
CMP00433,2026-06-30,Heavy waterlogging near Govt School in Ward 10 since 3 weeks. Road is completely flooded.,Ward 10,waterlogging,Ward 10,waterlogging,low,3 week
CMP00036,2026-07-01,"Manhole overflow near Railway Station Road in Ward 4, extremely unhygienic condition.",Ward 4,sewage,Ward 4,sewage,high,not specified
CMP00044,2026-07-01,"No water supply near Ambedkar Park, Ward 15 for several months, please check pipeline.",Ward 15,water_supply,Ward 15,water_supply,medium,several months
CMP00051,2026-07-01,Heavy waterlogging near Petrol Pump Circle in Ward 12 since several months. Road is completely flooded.,Ward 12,waterlogging,Ward 12,waterlogging,medium,several months
CMP00088,2026-07-01,"Same pothole near Shiv Mandir Road (Ward 5) reported 2 days ago, still not repaired.",Ward 5,pothole,Ward 5,pothole,medium,2 day
CMP00299,2026-07-01,Municipal garbage van has skipped our street near Main Bazaar (Ward 13) for 10 days.,Ward 13,garbage,Ward 13,garbage,low,10 day
CMP00305,2026-07-01,"Illegal dumping of construction waste near Railway Station Road in Ward 3, causing blockage.",Ward 3,garbage,Ward 3,garbage,low,not specified
CMP00431,2026-07-01,"Same pothole near Industrial Area Gate (Ward 1) reported 2 days ago, still not repaired.",Ward 1,pothole,Ward 1,pothole,medium,2 day
CMP00475,2026-07-01,"Manhole overflow near Old Bus Stand in Ward 12, extremely unhygienic condition.",Ward 12,sewage,Ward 12,sewage,high,not specified
CMP00538,2026-07-01,Heavy waterlogging near Industrial Area Gate in Ward 12 since several months. Road is completely flooded.,Ward 12,waterlogging,Ward 12,waterlogging,medium,several months
CMP00091,2026-07-02,"Road near Housing Colony Gate in Ward 8 badly damaged after rains, potholes everywhere.",Ward 8,pothole,Ward 8,pothole,low,not specified
CMP00093,2026-07-02,"Manhole overflow near Gandhi Chowk in Ward 3, extremely unhygienic condition.",Ward 3,sewage,Ward 3,sewage,high,not specified
CMP00097,2026-07-02,"Road near Housing Colony Gate in Ward 12 badly damaged after rains, potholes everywhere.",Ward 12,pothole,Ward 12,pothole,low,not specified
CMP00113,2026-07-02,"Sewage line broken near Industrial Area Gate, Ward 2, dirty water flowing on road for 2 days.",Ward 2,sewage,Ward 2,sewage,low,2 day
CMP00126,2026-07-02,"No water supply near Community Hall, Ward 12 for 3 weeks, please check pipeline.",Ward 12,water_supply,Ward 12,water_supply,low,3 week
CMP00407,2026-07-02,"Drain overflow causing water to enter houses near Housing Colony Gate, Ward 10. Please help urgently.",Ward 10,waterlogging,Ward 10,waterlogging,high,not specified
CMP00497,2026-07-02,"Road near Ring Road Junction in Ward 5 badly damaged after rains, potholes everywhere.",Ward 5,pothole,Ward 5,pothole,low,not specified
CMP00062,2026-07-03,"Road near Main Bazaar in Ward 6 badly damaged after rains, potholes everywhere.",Ward 6,pothole,Ward 6,pothole,low,not specified
CMP00115,2026-07-03,"Streetlight near Housing Colony Gate, Ward 10 not working for 5 days, safety issue at night.",Ward 10,streetlight,Ward 10,streetlight,low,5 day
